split,setting,failure_type,count,failure_share,all_attempt_share
shifted_test,free,empty_or_missing_patch,13,0.9285714285714286,0.28888888888888886
shifted_test,free,syntax_error,1,0.07142857142857142,0.022222222222222223
shifted_test,manual,empty_or_missing_patch,15,0.8823529411764706,0.3333333333333333
shifted_test,manual,syntax_error,1,0.058823529411764705,0.022222222222222223
shifted_test,manual,wrong_output,1,0.058823529411764705,0.022222222222222223
shifted_test,random,empty_or_missing_patch,10,0.9090909090909091,0.2222222222222222
shifted_test,random,syntax_error,1,0.09090909090909091,0.022222222222222223
shifted_test,reuse_full,empty_or_missing_patch,14,0.875,0.3111111111111111
shifted_test,reuse_full,syntax_error,1,0.0625,0.022222222222222223
shifted_test,reuse_full,wrong_output,1,0.0625,0.022222222222222223
shifted_test,reuse_prompt,empty_or_missing_patch,4,0.5,0.08888888888888889
shifted_test,reuse_prompt,syntax_error,2,0.25,0.044444444444444446
shifted_test,reuse_prompt,wrong_output,2,0.25,0.044444444444444446
shifted_test,reuse_routing,empty_or_missing_patch,8,0.8,0.17777777777777778
shifted_test,reuse_routing,wrong_output,2,0.2,0.044444444444444446
test,free,empty_or_missing_patch,2,0.3333333333333333,0.03333333333333333
test,free,wrong_output,4,0.6666666666666666,0.06666666666666667
test,manual,empty_or_missing_patch,2,0.5,0.03333333333333333
test,manual,wrong_output,2,0.5,0.03333333333333333
test,random,empty_or_missing_patch,8,0.8888888888888888,0.13333333333333333
test,random,wrong_output,1,0.1111111111111111,0.016666666666666666
test,reuse_full,empty_or_missing_patch,2,0.2222222222222222,0.03333333333333333
test,reuse_full,runtime_error,1,0.1111111111111111,0.016666666666666666
test,reuse_full,syntax_error,2,0.2222222222222222,0.03333333333333333
test,reuse_full,wrong_output,4,0.4444444444444444,0.06666666666666667
test,reuse_prompt,empty_or_missing_patch,4,0.8,0.06666666666666667
test,reuse_prompt,wrong_output,1,0.2,0.016666666666666666
test,reuse_routing,empty_or_missing_patch,5,0.5,0.08333333333333333
test,reuse_routing,syntax_error,2,0.2,0.03333333333333333
test,reuse_routing,wrong_output,3,0.3,0.05
