split,setting,runs,seeds,avg_success,std_success,min_success,max_success,avg_tokens,avg_wall_time_sec
shifted_test,free,8,"712,712,712,713,713,713,714,714",0.65,0.10929064207170003,0.5333333333333333,0.8,202626.0,562.9307125
shifted_test,manual,8,"712,712,712,713,713,713,714,714",0.5916666666666667,0.13514395616855712,0.3333333333333333,0.8,200675.25,532.054075
shifted_test,random,8,"712,712,712,713,713,713,714,714",0.625,0.1488380924957646,0.4,0.8,203479.0,554.551675
shifted_test,reuse_full,8,"712,712,712,713,713,713,714,714",0.6083333333333333,0.17460272366464136,0.3333333333333333,0.8,233635.125,569.8668125
shifted_test,reuse_prompt,8,"712,712,712,713,713,713,714,714",0.6416666666666667,0.20799973290581142,0.3333333333333333,0.8666666666666667,226604.125,570.6721
shifted_test,reuse_routing,8,"712,712,712,713,713,713,714,714",0.5916666666666667,0.18085445345175588,0.3333333333333333,0.8,201724.25,570.7911
test,free,8,"712,712,712,713,713,713,714,714",0.71875,0.17127737007555902,0.5,1.0,213485.75,547.5074500000001
test,manual,8,"712,712,712,713,713,713,714,714",0.70625,0.16476782908080084,0.5,0.95,216750.5,588.9151
test,random,8,"712,712,712,713,713,713,714,714",0.66875,0.16758859597239903,0.4,0.85,216499.125,598.7312
test,reuse_full,8,"712,712,712,713,713,713,714,714",0.71875,0.18016919131749468,0.4,0.9,247469.125,548.1007500000001
test,reuse_prompt,8,"712,712,712,713,713,713,714,714",0.69375,0.24294739656971012,0.35,0.95,250825.625,609.2206625
test,reuse_routing,8,"712,712,712,713,713,713,714,714",0.68125,0.1579903082470567,0.4,0.85,217005.25,577.983375
