split,setting,runs,seeds,avg_success,std_success,min_success,max_success,avg_tokens,avg_wall_time_sec
shifted_test,free,3,"712,713,714",0.6888888888888889,0.08314794192830983,0.6,0.8,227847.0,1225.3219
shifted_test,manual,3,"712,713,714",0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666,226738.33333333334,1176.1616666666666
shifted_test,random,3,"712,713,714",0.7555555555555555,0.08314794192830983,0.6666666666666666,0.8666666666666667,222788.66666666666,1089.2621
shifted_test,reuse_full,3,"712,713,714",0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333,257330.0,1129.9295666666667
shifted_test,reuse_prompt,3,"712,713,714",0.8222222222222223,0.03142696805273544,0.8,0.8666666666666667,254102.33333333334,1265.4356
shifted_test,reuse_routing,3,"712,713,714",0.7777777777777778,0.03142696805273549,0.7333333333333333,0.8,228877.0,1295.1523333333334
test,free,3,"712,713,714",0.9,0.07071067811865477,0.85,1.0,251324.66666666666,1277.7552333333333
test,manual,3,"712,713,714",0.9333333333333333,0.023570226039551553,0.9,0.95,256825.0,1299.9629
test,random,3,"712,713,714",0.85,0.04082482904638629,0.8,0.9,257825.66666666666,1378.1746
test,reuse_full,3,"712,713,714",0.85,0.04082482904638629,0.8,0.9,284558.6666666667,1212.8763333333334
test,reuse_prompt,3,"712,713,714",0.9166666666666666,0.023570226039551553,0.9,0.95,288866.6666666667,1354.2362666666666
test,reuse_routing,3,"712,713,714",0.8333333333333334,0.023570226039551553,0.8,0.85,255369.66666666666,1315.3579666666667
